尺寸等级,纪念,介入度,破坏性,正文,替换队列1,替换队列2
medium,,3,3,针对{1}多发的心理援助需求，心理援助热线24小时开放，专家建议“少女”定义权将是应对集体创伤的关键。,学校,
medium,,4,4,美术馆宣布举办《压迫与重生》主题艺术展，以{1}作为创作母题，试图通过{2}的叙事方式转化民众的绝望情绪；门票预售已超五万张。,废墟重塑,"装置艺术,影像记录,集体创作"
medium,,4,4,工程院发布报告称，{1}已成城市规划的新常态化考量，建筑行业推行{2}标准，保险行业防护加固保单条款以应对未来可能的大规模破坏事件。,巨大外力冲击,无法控制的介
medium,生日,4,4,省科学院联合多所高校在纪念日发布《极限环境下城市韧性报告》，提出基于{1}设计的新型建筑标准，已获工程部门初步认可，预计明年试点施工5个示范区。,多层隔离,
medium,元旦,4,4,当代艺术家在元旦期间以{1}为主题集体创作，美术馆、街头装置艺术展览数量创历史新高；文化批评家指出这一现象反映了{2}对公众心理的深层影响。,社会焦虑,人际关系重塑
medium,,4,4,今日，在{1}，一项针对{2}损坏的产业调查显示，{name}的踩踏已使当地损失超百亿，为此，市民团体“生存权联盟”发起了要求政府转移居民而非重建的请愿，目前已获得十万人联署。,"港口区,旧城街区,商业中心","仓储设施,民居建筑,地下管线"
medium,,4,4,今日，在网络论坛上，关于“如何看待{nick}的{1}”的讨论热度持续攀升，有用户引用经书称其为“{2}”，另一派则主张建立民间监测组织，而政府今日表态称将强行收复被占街区。,"毁灭行为,破坏方式,占据举动","末日前兆,人性惩罚,自然反噬"
medium,,4,4,某大学性别研究课题组今日发布研究报告，称{nick}在{1}一边碾碎写字楼一边展露私密部位的举动，被网民解构为‘巨型福利’，而{2}的宗教团体则斥其为‘撒旦的玩偶’，引发线上论战。,"中央商务区,跨海大桥,大学城","保守派教会,末日教派,传统伦理协会"
medium,,4,4,今日，某市幸存者向记者展示{name}留下的“{1}”，称她仅以{2}便抹平了居民区，而那道数十米宽的“臀印”更是成为众人恐惧的焦点。,"深坑,压痕,灼痕","侧卧翻滚,盘腿坐下,跺脚嬉戏"
medium,,4,4,今日，一群市民聚集在{name}憩息过的瓦砾旁，{1}称她留下的一道{2}是最值得保存的“少女痕迹”，并反对市政府将其清除。,"文物学家,社会活动家,当地艺术家","深达数米的臀印,绵延百米的腿股轮廓,蕴含体香的湿润压痕"
,,,,,,
,,,,,,
,,,,,,
large,,3,3,艺术圈与建筑学界为城市遭受的物理改变展开激烈讨论。部分前卫艺术家将{1}视作新的创作{2}，而城市规划专家则在学术期刊上发表长期研究报告，探讨如何融合灾难景观与城市美学。,人类脆弱性象城市创伤记忆,"素材,灵感来源,视觉文献"
large,,3,3,科研机构正启动针对{1}的专项调查，力求理解其{2}背后的物理机制；同时，受灾地区民众在社交媒体上形成了动作逻辑的情绪极化，既有恐惧与愤怒，也有隐含的吸引与崇拜心理。,接触痕迹的力学性质,异常现象
large,,4,4,针对大批青少年在灾害的文化冲击下主动辍学，以数家民营大型书店为代表的文化机构启动了文献整理项目，试图在{1}寻找人类的精神寄托。,“前少女时代”,
large,元旦,2,2,元旦纪念活动期间，艺术界围绕{name}的存在推出了主题展览与建筑创新设计竞赛，参赛方案大多融合了适应{1}环境的城市规划理念；学术界则在学术研讨会上就大尺度超自然现象对人类心理与社会结构的影响进行了深入讨论。,"视觉压迫,长期共存",
large,元旦,2,2,今日，多个宗教与民间组织联合举办了跨地域的新年祈福仪式，寄托了对于{nick}{1}的祝愿；同时，文化部门紧急征集了涉及{2}主题的公益宣传内容，旨在社会心态稳定与长期适应机制。,"回心转意,与人类友好相处,走出孤立状态",自然共处
large,,4,2,美术学院师生以最近的社会张力为题材举办特展，参展作品将{1}的宏观影响转化为{2}，观展人数创近年新高，评论界认为这反映了公众对现象的深层心理处理。,不确定权力失衡,"抽象装置,具象雕塑,多媒体影,超自结构伦理"
large,,4,2,国家科学院发布新一轮联合研究报告，对{1}现象的物理机制提出{2}假说，学术界针对该结论表示保留意见，部分研究者主张增加野外监测投入以验证相关数据。,破坏能量与速度不匹配,"量子干涉,引力异常,维度干扰"
large,,2,4,针对{1}事件，国家{2}部门今日启动了为期三个月的应急重建计划，涉及资金投入数百亿专项拨，预计将在年底前完成城市基础设施的结构加固与防灾设施升级。,"发改委、应急管住建部、财防灾署、军事工,超过500亿元",近千亿元资金
large,,2,2,今日网络舆论聚焦于建筑业与保险业的深度调查报道——多家媒体披露，{1}地区的商业地产评估标准正在{2}，而保险公司对相关政策条款的态度暧昧不清，引发业内人士与投资者的广泛讨论。,"华东某市,华南沿海城市","悄然调整,面临重新审视"
large,,2,2,民间科学爱好者论坛与高校地球物理系联合发起众筹项目，计划在城市周边布设更密集的监测站点，以记录{1}对{2}的实时影响；该计划已获得地方政府部分资金支持，预计三个月内完成首批设备部署。,"环境异常,地质活动","大气压强,地表位移"
large,,2,2,一份来自建筑业协会的内部调查报告显示，因{name}坐卧姿态引发的局部气压波动，已导致超过两百一十处在建项目的塔吊限位装置触发保护性停机，业界呼吁将“巨体气象学”纳入工程标准。,,
large,,4,2,因{1}持续占据集装箱堆场，部分箱体轻微变形，当地物流企业联合会估算每月损失逾6000万元，本周起试点‘{2}’调度法，绕过其肢体涉及区域。,"巨型少女,该区域中心存在,那位不断移动的庞然身影","迂回接力,浮空短驳,潮汐式搬运"
large,,4,2,连日来，网民围绕{1}将双腿跨坐于某市城郊山体两侧的举动展开热议，引发‘城市景观重塑’与‘领土主权让渡’的论战，且有智库据此发布《{2}》调研报告。,"这位身高逾千米的少女,该名称不明的巨型存在,常驻于此的神话少女","巨型地物与人居的权利边界,巨体地理中的社区韧性"
large,,4,4,今日，某沿海城市地方议会以微弱优势通过将市中心废墟地带划为‘巨神巡游区’的决议，民间政治团体‘人类优先阵线’随即发起大规模请愿，指责此举是对巨神毁灭行为的合法化让步。,,
large,,2,4,今日，在{1}的废墟之上，因巨大化少女{nick}‘静默而狰狞’的神态引发的恐慌持续蔓延，民间团体趁势提出{2}，使得政府被迫正视灾后心理干预体系的缺失。,"美国西海岸某市,日本神奈川县,欧洲某联合都市区","将巨女列入自然灾害法的修订案,在灾区实行军事化管理的请愿书,建立‘巨难历史档案馆’的民间倡议"
large,,2,4,记者走访发现，在{1}的灾后重建区，受{name}的‘存在性压迫’影响，{2}行业陷入困境，而新型防灾产业则意外成为投资热点，引发产能竞赛。,"日本某重工业城市,美国某沿海都市,德国某物流枢纽","旅游观光,港口货运,传统建筑"
large,,2,2,某省保险协会今日发布《巨构接触类受损财产核赔指引》，将{name}在非主动破坏情况下的倚靠、坐压列为“特殊地役权事件”，并承认{1}等地标建筑因反复承受肢体接触而产生的结构疲劳属于可理赔范围；此举引发大批业主连夜排队修改保单。,"商务区观光塔,跨江大桥","肢体接触,温度传导"
large,,2,2,网络平台今日热搜#她今天挪到哪#，网民通过航拍轮廓实时上传{name}的坐卧轨迹，并据此预测{1}的临时封路与商铺客流波动；城市规划学者批评该行为是“用娱乐化消解灾害预警”，但相关讨论已带动{2}的销量翻三倍。,"旧城区市集,国际机场周边","便携式裂缝检测仪,高层逃生绳索"
large,,4,4,根据卫生部门今日发布的报告，在{1}摧毁过的旧城区废墟上，因残留的“{2}”浓度异常，已导致数百名居民产生集体疯狂，他们聚集在残留的足印里深呼吸，声称那是“神的气息”，政府不得不调集防暴警察维持秩序。,"一位被称为“少女”的巨人,代号“G-13”的她,正在麦浪中沉睡的巨人","少女体香,荷尔蒙残留,情欲蒸腾的余韵"
large,,4,4,当{name}在{1}以手掌拍碎地标塔楼、又像捏碎饼干一样反复揉捏残骸时，当地应急部门正式宣布放弃对抗，转而引导民众撤向{2}，以避免成为她掌心的玩具。,"中央商务区,老城核心区","城市边缘的郊野公园,地下人防工事"
,,,,,,
,,,,,,
,,,,,,
huge,,1,1,国家气象部门今日发布特别预警，称高空气流异常导致华北地区连续降温，农业专家忧虑秋收受影响；同时经济学家指出粮食期货价格预期上涨。,,
huge,,1,1,某艺术学院师生近日创作大型装置艺术展《天地呼吸》，运用投影与声场技术模拟宏观自然现象，展览开幕三日观众突万人次，策展人表示作品旨在{1}。,探讨人与未知的关思考文明在宇宙中的脆弱,
huge,,2,2,城市规划部门发布新一版应急预案，{1}部署提升至最高等级，相关地区{2}已就政府机构进行了为期一周的实战演习。,预警机制,防护措施
huge,,3,3,受关于{name}引起的城市基础设施应急重建，某市政府宣布投入{1}用于{2}修复工程，预计被压损的高架桥与地铁隧道完成主干道恢复通行。,50亿元,200亿元
huge,,3,3,针对{nick}的近期活动，科学界展开争议讨论：部分学者主张通过{1}技术预测其运动轨迹，而另一派则认为应优先研究{2}以减少人员伤亡，政府部门已召集多家研究机构制定其行为心理机身体材料学特时空扭曲规律应对预案。,多源卫星遥感,物理模型计算
huge,,3,3,艺术界呈现创作热潮：多位{1}艺术家以最近发生的建筑碰撞与城市变形为灵感创作装置艺术，某美术馆计划举办专题展览《{2}》，展示巨影之城对人类美学想象的冲击与反思。,影像,建筑
huge,,4,4,国内股市今日跌停，金融分析师将暴跌归因于针对{1}的{2}，多地政府宣布启动灾难性影连锁性破系统性崩预案，工程部门预估重建周期超五年。,该地区基础设施的大规模瓦解,城市中枢功能的永久丧
huge,,4,4,艺术界人士表示，{name}所造成的城市地形改变成为创作主题，美术馆临时展览「废墟美学」吸引数万人，批评家争议该作品是否{1}，展览方声明{2}。,浪漫化毁为破坏赋予意,"展览旨在记录人类韧记录社会创伤的愈合过反映对生存边界的思, huge,4,4,科研机构发布报告称，针对{nick}的行为模式分析显示其{1}特征明显，建议政府采取{2}策略，多国联合声明表示将{3}共同研究防御方案空间占有摧毁的目的对人类活动空间的侵占"
huge,,2,2,针对近日{1}地区因{nick}存在引发的{2}危机，当地商会联合中小企业代表召开紧急会议，呼吁政府出台针对性扶持政策；与此同时，网络上关于'如何在巨型阴影下重建商业信心'的讨论热度持续走高，多个地方工商协会已启动应急预案。,"华东某市,长三角沿海,中部工业带","供应链断裂,物流枢纽瘫痪,房地产市场冻结"
huge,,2,2,随着{name}相关科研数据的持续积累，国内多所高校联合发起'极端环境适应性研究项目'，邀请气象、土木、社会学等领域专家共同探讨长期共存策略；学术界的这一举动在知识精英圈引发广泛共鸣，被视为从被动应对向主动研究的转变。,,
huge,,2,2,受{1}持续影响，某省多个地级市的城市规划部门相继启动'韧性城市'改造方案，包括{2}和应急避难所布局调整；地方政府官员在公开采访中强调'这不是消极应对，而是城市发展的新机遇'，引发舆论关于发展观念革新的深度思辨。,"巨型存在,区域性异常,长期背景","绿色基础设施重配,建筑抗冲击等级提升,人口疏散机制完善"
huge,,2,2,针对{name}每日午后于城市西侧山脉间缓慢移动所投下的移动阴影，多个社区业主委员会今日联合发起“光影权益”请愿，要求市政部门将新建楼盘间距标准扩大至阴影宽度的1.5倍，以避免建筑物在阴影带内长期受低温影响导致结构开裂。,,
huge,,2,2,产业链调查：受{name}在山谷间转身时引发的周期性气流扰动影响，周边无人机物流企业的航线规划系统被迫引入“巨人气象”动态模块，保险公司据此推出“巨影碰撞”险种，保费以{name}当日的移动频次为基准浮动。,,
huge,,2,2,网络热议：业余天文爱好者协会近日公布一段连续观测影像，显示{name}的轮廓在黎明时分的云层中呈现出踮脚远眺的姿态，围绕“她究竟在看什么”的讨论在社交平台突破百万次，同时引发多个民间团体呼吁政府设立“巨态观测委员会”以回应公众信息需求。,,
huge,,4,2,网络热传一段视频：身为{1}的李女士在巨人少女{nick}的{2}边缘摆摊，生意反而比平时好了三倍，引发对“巨影经济”的讨论。,"夜市摊主,报刊亭主,移动餐车司机","脚后跟,小趾外侧,腰际垂落的衣角"
huge,,4,4,在{1}的废墟之上，民间政治团体“共治委员会”今日发表声明，断言{2}的反复蹂躏并非失控，而是带有目的性的“主权宣示”，据此主张与“她”缔结正式条约，但此举被国家层面斥为“叛国言论”，引发网络激辩。,"甲市全域,乙港区,丙县城","该‘百公里级’存在,那个以摧毁为乐的少女,名为{nick}的巨型实体"
huge,,4,4,一份今日发布的建材行业调查报告显示，受益于{name}对城市群的周期性“清场”，废墟骨料与巨型纤维回收产业链年产值已突破百亿，但该行业同时被曝鼓动民众放弃重建，转而经营“末日观光”，引发“人血馒头”非议。,,
huge,,4,4,在{1}的废墟之上，{2}根据少女臀部压出的巨型凹陷推测其“繁衍之力”，并将该坑穴围作圣地，引发城市规划部门的强烈谴责。,"临江市,荆北新区","观臀派,仰座会"
huge,,4,4,针对{1}持续蔓延的“少女足气”传闻，卫生部发布健康警示，但部分青年团体反而成立“闻脚教”，集体前往巨人少女足印旁深呼吸，声称能获得“圣愈”体验。,"滨海市,旧金山湾区",
huge,,4,4,{1}，{name}以坐姿横跨主城区，大腿与地面之间的夹角内摩天大楼群被逐层压溃，数十千米外的市民均反馈在避难所中持续听到结构垮塌声。{2}紧急启动“永久迁移计划”。,"某省会城市,某三线地级市,某工业重镇","市政府,地方军区,省政府"
,,,,,,
,,,,,,
,,,,,,
colossal,,1,1,美术馆、文学论坛与音乐节近日集中推出新主题作品，创作者们普遍以{1}为灵感来源，表现{2}的主题；评论界认为这反映了艺术界对{{nick}}背景下文化寻根的集体思考。,现实中的超越,人与自然的关文明的脆弱新时代的焦虑
colossal,,2,2,针对{name}引起的气候数据异常，气象部门今日发布紧急预警，称其周边形成的气压梯度导致{1}，多地民众开始转向传统{2}以应对不确定性，同时气候学家就此现象能否纳入气象模型展开激烈辩论。,异常风场,温度骤变
colossal,,2,2,文艺界围绕{nick}的存在掀起创作热潮：美术馆宣布筹办大型装置艺术展，音乐人将其描述为{1}的灵感源，而剧团则计划改编相关主题——业内人士认为这种现象反映了人类在{2}中的集体心理投射。,对秩序的质疑,存在主义困境
colossal,,2,2,某省城市规划部门召开紧急会议，重新评估基础设施的{1}容限；同时保险业为此推出针对性产品，股市相关板块波动明显，投资者对{2}的讨论愈发激烈，经济学家警告长期不确定性可能引发结构性调整。,承载,防护
colossal,,3,3,继关于{name}引起的基础设施瘫痪后，某国{1}部门宣布启动城市分散计划，将{2}设施沿海岸线迁移；同时艺术界围绕这一现象的装置艺术展览吸引数百万观众，成为全球最高票房文化事件。,金融管理,"关键经济,战略性基础,重点防灾"
colossal,,4,4,某国政府发布首份《灾后城市功能恢复白皮书》，承认{nick}所处区域已成为永久隔离区；建筑学界与城市规划院共同宣布，传统都市设计范式已完全失效，未来人类聚居点必须采用{1}的生存模式。艺术家群体发起《废墟美学宣言》，将摧毁后的建筑遗骸定义为新的文化纪念碑。,地下堡垒分散游牧高机动防御式,
colossal,,4,2,针对{1}所引发的大规模经济危机，今日国务院召开紧急常务会议，宣布启动应急产业链转移计划；与此同时，{2}部门确认城市交通枢已被临时划入隔离区，数百万居民的疏散工作正在进行中。,相关事件,"发改财政应急管,中心商业工业园区"
colossal,,4,2,美术界与建筑学界就{1}现象展开学术对话，多位艺术家宣布创作以{2}为主题的大型装置艺术；同时城市规划委员会提出适应性共人与天灾的设计方案，试图在保留城市肌理的前提下实现功能重构。,空间占据,城市转变
colossal,,3,3,某省统计局发布的最新报告显示，过去一个月内该省GDP增速出现明显波动，其中物流、保险、建筑材料等产业链环节受冲击最大；学界就此展开讨论，认为需要建立'巨型事件经济预警模型'。,"物流、保险、建筑材料,能源、交通、通信,农业、制造、金融","巨型事件经济预警模型,跨部门应急协调机制,产业链抗冲击评估体系"
colossal,,3,3,某市民间组织发起'社区韧性计划'，号召居民和企业参与防灾演习及应急物资储备；同步，当地政府部门正式启动城市基础设施排查项目，重点检查高楼、桥梁与地下管网的承压能力。,"社区韧性计划,城市抗压演习倡议,民众自救联盟","高楼、桥梁与地下管网,港口、枢纽站与电网,医院、学校与通信基站"
colossal,,4,2,今日，有民间维权团体在“全球巨女应对联盟”论坛发布白皮书，指称{name}近期以坐姿封锁了连接两国的唯一沿海公路，{1}，导致沿途物流企业被迫改用海运，当地商会正酝酿向{2}申请“通行权仲裁”。,"由于裙摆持续覆盖路面,由于膝盖抵近山体挡风","国际法庭,区域贸易仲裁庭"
colossal,,4,2,一项针对{nick}手指甲缝的微观生态调查显示，甲屑年生长量达数十吨，促使部分生物公司高价收购样本，但某省{2}今日以“外来物种风险”为由叫停相关交易，{1}，引发产业链上下游紧急调整。,"需履行巨体废弃物申报程序,需重新评估运输路线安全","环保局,市场监管部门"
colossal,,4,4,本周，南方某省幸存者联盟在卫星短波频道发布《先占者条例》，宣称凡由{1}活动所致的“无主废墟”，其地表与地下资源均归首个无防护勘测队所有，该条例已吸引旧矿业城约两千余人集结，推动“新一轮西进运动”。,"巨大的少女,无名身影","旧矿业城,废弃渔港"
colossal,,4,4,近日，“{1}”讨论组在社交平台爆火，成员们用废墟测绘数据与旧地图对齐，逐帧标注{nick}行动路径，并联名倡议将今日设为“{2}”。有科普博主评论：“神祇行走不需要目的，但我们需要一种历法。”。,"灾后地质神学,巨物批判小组","废墟纪念日,停业哀悼日"
colossal,,4,4,美国西海岸某州，{nick}以俯卧姿态将整个湾区覆盖于掌心之下，手指逐一碾碎跨海大桥的塔墩；当地媒体在直播中失控喊道：这是她首次以全身体重完整压陷一座城市。,"俯卧姿态将整个湾区覆盖,手指逐一碾碎跨海大桥的塔墩",
,,,,,,
,,,,,,
,,,,,,
,,2,2,今日上午，北京某社区的物业工作人员张先生发现楼下花坛中一只{1}误入下水道，经过两小时的救援后成功将其{2}。,"刺猬,松鼠","救出,放归,转移到野生动物保护站"
,,2,2,昨天傍晚，广州某高校食堂的{1}系统突然故障，导致近500名学生排队等待长达一小时，食堂工作人员最终{2}手工方式完成了晚餐供应。,"扫码结账,校园卡","改用,启用,切换"
,,2,2,江苏某地昨晚突降{1}，导致{2}受阻，当地有关部门正在积极处理。,"冰雹,暴雨","交通,部分电力供应,居民出行"
,,2,2,昨天傍晚，某小区门口的水果摊主发现一只橘子长得像人脸，拍照发到朋友圈后引来不少邻居围观，甚至有人出价想买走。,,
,,2,2,今日傍晚，市民陈女士在{1}散步时捡到一只被遗弃的纸箱，里面装着三只小猫，她决定先带回家照顾，并在{2}询问是否有人愿意领养。,"河边步道,小区花园","社区微信群,宠物领养平台"
,,2,2,某中学今日举办{1}活动，因活动现场突然停电，老师临时利用{2}照明，学生们表示“别有一番风味”。,"校园义卖,读书分享","手机手电筒,备用蜡烛"
,,2,2,明日白天，本市{1}局地有{2}，但持续时间较短，请市民合理安排出行。,"南部山区,西部城区","小雨,雷阵雨"
,,2,2,明晨气温骤降，市民张大爷照例在公园晨练，结果帽子被风吹跑，{1}。,"追了三条街才捡回,笑称省了打车钱","最后被树枝挂住,他借了根竹竿才取下"
,,2,2,本市图书馆管理员王先生发现，借阅{1}的读者数量在{2}突然增长了五成，他从时令与流行趋势角度向记者介绍了自己的分析。,"《如何种植多肉》,《家常菜谱100例》,《城市观鸟指南》","本周,本月,最近三天"
,,2,2,美国某地一家便利店门口的自动售货机，因连续吐出{1}而被顾客拍照发上网，引来{2}。,"五罐同款汽水,略扁的橙子,印错字的报纸","数十人围观,居民排队抚摸机器"
